#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-minimal,is the graphical server.
,xinit,starts the graphical server.
,font-libertine-ttf,provides the sans and serif fonts for LARBS.
,lf,is an extensive terminal file manager that everyone likes.
,ueberzug,allows image previews on the file manager.
,dragon,provides a gui interface for dragging and dropping files for the file.
,picom-jonaburg,is for transparency and removing screen-tearing.
,xprop,is a tool for detecting window properties.
,dosfstools,allows your computer to access dos-like filesystems.
,dunst,is a suckless notification system.
,sxiv,is a minimalist image viewer.
,xwallpaper,sets the wallpaper.
,ffmpeg,can record and splice video and audio on the command line.
,flat-remix-gtk,gives the dark GTK theme.
,neovim,a tidier vim with some useful features
,mpd,is a lightweight music daemon.
,mpc,is a terminal interface for mpd.
,mpv,is the patrician's choice video player.
,ncmpcpp,a ncurses interface for music with multiple formats and a powerful tag editor.
,newsboat,is a terminal RSS client.
,brave-bin,"is an elegant browser with built-in adblocking, tor and other features."
,noto-fonts-emoji,is an emoji font.
,ntfs-3g,allows accessing NTFS partitions.
,pipewire,is the audio system.
,alsa-pipewire,is the pipewire library for alsa.
,libjack-pipewire,is the pipewire library for jack.
,patchage,is a modular patch bay for sound based on jack and alsa.
,pulsemixer,is an audio controler.
,pamixer,is a command-line audio interface.
,maim,can take quick screenshots at your request.
,unzip,unzips zips.
,lynx,is a terminal browser.
,xclip,allows for copying and pasting from the command line.
,xdpyinfo,aids with resolution determination and screen recording.
,youtube-dl,can download any YouTube video (or playlist or channel) when given the link.
,zathura,is a pdf viewer with vim-like bindings.
,zathura-pdf-mupdf,allows mupdf pdf compatibility in zathura.
,mediainfo,shows audio and video information.
,atool,manages and gives information about archives.
,zsh-syntax-highlighting,provides syntax highlighting in the shell.
G,https://github.com/Kho-Dialga/dmenu-dialga.git,runs commands and provides a UI for selection.
G,https://github.com/Kho-Dialga/st-dialga.git,is my custom build of suckless's terminal emulator.
,mutt-wizard,is a light-weight terminal-based email system.
,slock,"allows you to lock your computer, and quickly unlock with your password."
,xob,is a lightweight volume (or anything) bar for the X Window System.
,sxhkd,is a simple X hotkey daemon.
,trash-cli,is a command line trash can interface.
,neofetch,a CLI system information tool.
,xcb-util-cursor,is the XCB cursor library.
,starship,"is a minimal, fast and customizable cross-shell prompt".
,font-firacode,is a monospaced font with programming ligatures.
,redshift,adjusts the color temperature of your screen according to your surroundings.
,noto-fonts,is the Google Noto TTF fonts.
,zsh-autosuggestions,provides fish-like autosuggestions for zsh.
,zsh-history-substring-search,is a clean-room implementation of fish's history search feature.
,wmctrl,is a tool to interact with EWMH compliant window managers.
,cronie,is the system cron daemon.
,transmission,is the torrent daemon.
,tremc,is a console client for transmission.
,pam-gnupg,automatically unlocks GPG keys at startup.
